file,column,dtype,rows,null_count,null_percent,non_null_count
data/raw/nyc/202510-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,426,0.04,999574
data/raw/nyc/202510-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,426,0.04,999574
data/raw/nyc/202510-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,426,0.04,999574
data/raw/nyc/202505-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,421,0.04,999579
data/raw/nyc/202505-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,421,0.04,999579
data/raw/nyc/202505-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,421,0.04,999579
data/raw/nyc/202505-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,421,0.04,999579
data/raw/nyc/202503-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,415,0.04,999585
data/raw/nyc/202503-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,415,0.04,999585
data/raw/nyc/202503-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,415,0.04,999585
data/raw/nyc/202503-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,415,0.04,999585
data/raw/nyc/202508-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,410,0.04,999590
data/raw/nyc/202508-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,410,0.04,999590
data/raw/nyc/202508-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,410,0.04,999590
data/raw/nyc/202508-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,410,0.04,999590
data/raw/nyc/202509-citibike-tripdata_4.parquet,start_lat,DOUBLE,1000000,397,0.04,999603
data/raw/nyc/202509-citibike-tripdata_4.parquet,start_lng,DOUBLE,1000000,397,0.04,999603
data/raw/nyc/202509-citibike-tripdata_4.parquet,start_station_id,VARCHAR,1000000,397,0.04,999603
data/raw/nyc/202509-citibike-tripdata_4.parquet,start_station_name,VARCHAR,1000000,397,0.04,999603
data/raw/nyc/202504-citibike-tripdata_3.parquet,start_lat,DOUBLE,1000000,393,0.04,999607
data/raw/nyc/202504-citibike-tripdata_3.parquet,start_lng,DOUBLE,1000000,393,0.04,999607
data/raw/nyc/202504-citibike-tripdata_3.parquet,start_station_id,VARCHAR,1000000,393,0.04,999607
data/raw/nyc/202504-citibike-tripdata_3.parquet,start_station_name,VARCHAR,1000000,393,0.04,999607
data/raw/nyc/202509-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,390,0.04,999610
data/raw/nyc/202509-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,390,0.04,999610
data/raw/nyc/202509-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,390,0.04,999610
data/raw/nyc/202509-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,390,0.04,999610
data/raw/nyc/202502-citibike-tripdata_1.parquet,start_lat,DOUBLE,1000000,381,0.04,999619
data/raw/nyc/202502-citibike-tripdata_1.parquet,start_lng,DOUBLE,1000000,381,0.04,999619
data/raw/nyc/202502-citibike-tripdata_1.parquet,start_station_id,VARCHAR,1000000,381,0.04,999619
data/raw/nyc/202502-citibike-tripdata_1.parquet,start_station_name,VARCHAR,1000000,381,0.04,999619
data/raw/nyc/202506-citibike-tripdata_3.parquet,start_lat,DOUBLE,1000000,373,0.04,999627
data/raw/nyc/202506-citibike-tripdata_3.parquet,start_lng,DOUBLE,1000000,373,0.04,999627
data/raw/nyc/202506-citibike-tripdata_3.parquet,start_station_id,VARCHAR,1000000,373,0.04,999627
data/raw/nyc/202506-citibike-tripdata_3.parquet,start_station_name,VARCHAR,1000000,373,0.04,999627
data/raw/nyc/202506-citibike-tripdata_4.parquet,start_lat,DOUBLE,1000000,372,0.04,999628
data/raw/nyc/202506-citibike-tripdata_4.parquet,start_lng,DOUBLE,1000000,372,0.04,999628
data/raw/nyc/202506-citibike-tripdata_4.parquet,start_station_id,VARCHAR,1000000,372,0.04,999628
data/raw/nyc/202506-citibike-tripdata_4.parquet,start_station_name,VARCHAR,1000000,372,0.04,999628
data/raw/nyc/202505-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,367,0.04,999633
data/raw/nyc/202505-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,367,0.04,999633
data/raw/nyc/202505-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,367,0.04,999633
data/raw/nyc/202505-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,367,0.04,999633
data/raw/nyc/202508-citibike-tripdata_4.parquet,start_lat,DOUBLE,1000000,362,0.04,999638
data/raw/nyc/202508-citibike-tripdata_4.parquet,start_lng,DOUBLE,1000000,362,0.04,999638
data/raw/nyc/202508-citibike-tripdata_4.parquet,start_station_id,VARCHAR,1000000,362,0.04,999638
data/raw/nyc/202508-citibike-tripdata_4.parquet,start_station_name,VARCHAR,1000000,362,0.04,999638
data/raw/nyc/202509-citibike-tripdata_5.parquet,start_lat,DOUBLE,1000000,360,0.04,999640
data/raw/nyc/202509-citibike-tripdata_5.parquet,start_lng,DOUBLE,1000000,360,0.04,999640
data/raw/nyc/202509-citibike-tripdata_5.parquet,start_station_id,VARCHAR,1000000,360,0.04,999640
data/raw/nyc/202509-citibike-tripdata_5.parquet,start_station_name,VARCHAR,1000000,360,0.04,999640
data/raw/nyc/202509-citibike-tripdata_6.parquet,start_lat,DOUBLE,287447,122,0.04,287325
data/raw/nyc/202509-citibike-tripdata_6.parquet,start_lng,DOUBLE,287447,122,0.04,287325
data/raw/nyc/202509-citibike-tripdata_6.parquet,start_station_id,VARCHAR,287447,122,0.04,287325
data/raw/nyc/202509-citibike-tripdata_6.parquet,start_station_name,VARCHAR,287447,122,0.04,287325
data/raw/nyc/202505-citibike-tripdata_5.parquet,start_lat,DOUBLE,325553,120,0.04,325433
data/raw/nyc/202505-citibike-tripdata_5.parquet,start_lng,DOUBLE,325553,120,0.04,325433
data/raw/nyc/202505-citibike-tripdata_5.parquet,start_station_id,VARCHAR,325553,120,0.04,325433
data/raw/nyc/202505-citibike-tripdata_5.parquet,start_station_name,VARCHAR,325553,120,0.04,325433
data/raw/nyc/202503-citibike-tripdata_4.parquet,start_lat,DOUBLE,168271,66,0.04,168205
data/raw/nyc/202503-citibike-tripdata_4.parquet,start_lng,DOUBLE,168271,66,0.04,168205
data/raw/nyc/202503-citibike-tripdata_4.parquet,start_station_id,VARCHAR,168271,66,0.04,168205
data/raw/nyc/202503-citibike-tripdata_4.parquet,start_station_name,VARCHAR,168271,66,0.04,168205
data/raw/chicago/202501-divvy-tripdata.parquet,end_lat,DOUBLE,138689,61,0.04,138628
data/raw/chicago/202501-divvy-tripdata.parquet,end_lng,DOUBLE,138689,61,0.04,138628
data/raw/chicago/202502-divvy-tripdata.parquet,end_lat,DOUBLE,151880,57,0.04,151823
data/raw/chicago/202502-divvy-tripdata.parquet,end_lng,DOUBLE,151880,57,0.04,151823
data/raw/nyc/202508-citibike-tripdata_6.parquet,start_lat,DOUBLE,121533,45,0.04,121488
data/raw/nyc/202508-citibike-tripdata_6.parquet,start_lng,DOUBLE,121533,45,0.04,121488
data/raw/nyc/202508-citibike-tripdata_6.parquet,start_station_id,VARCHAR,121533,45,0.04,121488
data/raw/nyc/202508-citibike-tripdata_6.parquet,start_station_name,VARCHAR,121533,45,0.04,121488
data/raw/nyc/202512-citibike-tripdata_3.parquet,start_lat,DOUBLE,91620,38,0.04,91582
data/raw/nyc/202512-citibike-tripdata_3.parquet,start_lng,DOUBLE,91620,38,0.04,91582
data/raw/nyc/202512-citibike-tripdata_3.parquet,start_station_id,VARCHAR,91620,38,0.04,91582
data/raw/nyc/202512-citibike-tripdata_3.parquet,start_station_name,VARCHAR,91620,38,0.04,91582
data/raw/nyc/202504-citibike-tripdata_2.parquet,end_station_name,VARCHAR,1000000,350,0.03,999650
data/raw/nyc/202506-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,342,0.03,999658
data/raw/nyc/202506-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,342,0.03,999658
data/raw/nyc/202506-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,342,0.03,999658
data/raw/nyc/202506-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,342,0.03,999658
data/raw/nyc/202504-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,340,0.03,999660
data/raw/nyc/202504-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,340,0.03,999660
data/raw/nyc/202504-citibike-tripdata_2.parquet,start_station_id,VARCHAR,1000000,340,0.03,999660
data/raw/nyc/202504-citibike-tripdata_2.parquet,start_station_name,VARCHAR,1000000,340,0.03,999660
data/raw/nyc/202505-citibike-tripdata_4.parquet,start_lat,DOUBLE,1000000,335,0.03,999665
data/raw/nyc/202505-citibike-tripdata_4.parquet,start_lng,DOUBLE,1000000,335,0.03,999665
data/raw/nyc/202505-citibike-tripdata_4.parquet,start_station_id,VARCHAR,1000000,335,0.03,999665
data/raw/nyc/202505-citibike-tripdata_4.parquet,start_station_name,VARCHAR,1000000,335,0.03,999665
data/raw/nyc/202508-citibike-tripdata_3.parquet,start_lat,DOUBLE,1000000,328,0.03,999672
data/raw/nyc/202508-citibike-tripdata_3.parquet,start_lng,DOUBLE,1000000,328,0.03,999672
data/raw/nyc/202508-citibike-tripdata_3.parquet,start_station_id,VARCHAR,1000000,328,0.03,999672
data/raw/nyc/202508-citibike-tripdata_3.parquet,start_station_name,VARCHAR,1000000,328,0.03,999672
data/raw/nyc/202509-citibike-tripdata_2.parquet,start_lat,DOUBLE,1000000,325,0.03,999675
data/raw/nyc/202509-citibike-tripdata_2.parquet,start_lng,DOUBLE,1000000,325,0.03,999675
